SEGMENT,ITP_REGION,ERP_SYSTEM,CONSOLIDATED_COMPANY_NAME,CONSOLIDATED_COMPANY_CODE,ERP_COMPANY_CODE,ERP_PLANT_CODE,ACCOUNTING_FACILITY_CODE,RECEIVING_FACILITY_CODE,RECEIVING_FACILITY_DESCRIPTION,SUPPLIER_CODE,SUPPLIER_NAME,SUPPLIER_INV_DATE,SUPPLIER_SHIP_DATE,SUPPLIER_INV_NUMBER,CAT_DOCUMENT_NO,DOCUMENT_CURR,AMOUNT_DOCUMENT_CURR,AMOUNT_USD_LINE,AMOUNT_USD_HEADER_VAT,AMOUNT_USD_HEADER,INV_RECEIPT_DATE,SCANNING_BARCODE,ENTRY_DATE,POSTING_DATE,PAYMENT_DATE,PAYMENT_TERMS,DUE_DATE,DUE_DATE_ERP,PO_NUMBER,DOCUMENT_TYPE,STATUS,TYPE_OF_VENDOR,TRANSACTION_CODE,USER_ID,GRIEF_CREATION_DATE,GRIEF_APPROVAL_DATE,GRIEF_CLOSURE_DATE_HEADER,GRIEF_CLOSURE_DATE_LINE,GRIEF_AGEING,GRANULAR_GRIEF_TYPE,CONSOLIDATED_GRIEF_TYPE,GRIEF_OWNER,GRIEF_ESCALATION,FREIGHT_TYPE,DESTINATION_CITY,DESTINATION_STATE,XPDT_LOAD_AUTH_ID,SECONDARY_CARRIER_PRO_NUMBER,ORIGIN_CITY,ORIGIN_STATE,METHOD_OF_ENTRY,LINE_ITEM_NUMBER,MD5_HASH,ETL_CREATED_DATE,ETL_CDC_DATE
,North America,CFPS,,,1,13,13,13,,7097,PRIME INC                          ,29-01-2020,29-01-2020,6701163,202001296701163       137097 ,USD,102.61,102.61,102.61,102.61,31-01-2020,,05-02-2020,10-02-2020,30-03-2020,60,31-03-2020,31-03-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,05-02-2020,05-02-2020,,,,,,Inbound,DECATUR                  ,IL,550    550,7441954,ST JOSEPH                ,MO,,,43a672b345e365fc84f8e80677d11668,28:20.4,28:20.4
,North America,CFPS,,,1,50,50,50,,8758,"WILSON LOGISTICS, INC.             ",29-07-2020,29-07-2020,773895,20200729773895        508758 ,USD,101.33,101.33,101.33,101.33,03-08-2020,,24-08-2020,27-08-2020,03-09-2020,60,02-10-2020,02-10-2020,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,24-08-2020,24-08-2020,,,,,,outbound,WEST VALLEY CITY         ,UT,100    100,              ,DENVER                   ,CO,,,6cb481208792c1cef0af178985e57f1f,28:20.4,28:20.4
,North America,CFPS,,,1,SE,SE,SE,,4888,EVANS DELIVERY COMPANY INC         ,02-12-2021,02-12-2021,AIL464563     ,20211202AIL464563     SE4888 ,USD,694.64,694.64,694.64,694.64,10-12-2021,,10-01-2022,13-01-2022,20-01-2022,30,09-01-2022,09-01-2022,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,10-01-2022,10-01-2022,,,,,,Inbound,JOLIET                   ,IL,          ,              ,HARVEY                   ,IL,,,9b14b741ec04fddbb51deef30b39d2b1,28:20.4,28:20.4
,North America,CFPS,,,1,47,1,47,,5060,G & D TRANSPORTATION               ,23-12-2020,23-12-2020,73560670,2020122373560670      015060 ,USD,28.56,28.56,28.56,28.56,30-12-2020,,14-01-2021,20-01-2021,26-02-2021,60,28-02-2021,28-02-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,14-01-2021,14-01-2021,,,,,,outbound,JOLIET                   ,IL,541    541,214403,MORTON                   ,IL,,,e94c27d43aab649c1e218f950a0f4a1f,28:20.4,28:20.4
,North America,CFPS,,,1,47,1,47,,5060,G & D TRANSPORTATION               ,02-03-2021,02-03-2021,73586255,2021030273586255      015060 ,USD,38.08,38.08,38.08,38.08,08-03-2021,,23-03-2021,26-03-2021,05-05-2021,60,07-05-2021,07-05-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,23-03-2021,23-03-2021,,,,,,outbound,JOLIET                   ,IL,536    536,227815,MORTON                   ,IL,,,500754324f3a4d3b42b89152ee14df4f,28:20.4,28:20.4
,North America,CFPS,,,1,47,1,47,,8496,UNITED PARCEL SERVICE              ,05-08-2021,05-08-2021,X3747A3210807 ,20210805X3747A3210807 018496 ,USD,39.63,39.63,39.63,39.63,08-08-2021,,08-08-2021,13-08-2021,05-10-2021,60,07-10-2021,07-10-2021,,P ,Cleared,,,CASS    ,01-01-1900,01-01-1900,0000-12-30,0000-12-30,429,,,,,outbound,                         ,  ,          ,              ,                         ,  ,,,961a6b04b1fccb4428afa922db8764cb,28:20.4,28:20.4
,North America,CFPS,,,1,49,49,49,,594,"NFI INTERACTIVE LOGISTICS, LCC     ",20-10-2021,20-10-2021,N24517881     ,20211020N24517881     490594 ,USD,3957.2,3957.2,3957.2,3957.2,01-11-2021,,16-11-2021,19-11-2021,30-11-2021,60,31-12-2021,31-12-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,16-11-2021,16-11-2021,,,,,,Inbound,YORK                     ,PA,          ,              ,DELAVAN                  ,IL,,,e5c28da98e127ab27e82cfebcd8eb93f,28:20.4,28:20.4
,North America,CFPS,,,1,R2,R2,R2,,4374,DHL EXPRESS INC                    ,16-02-2022,16-02-2022,3830257896,202202163830257896    R24374 ,USD,17.6,17.6,17.6,17.6,24-02-2022,,14-03-2022,17-03-2022,0000-12-30,60,25-04-2022,25-04-2022,,Y ,Open,,,Z1FP4065,01-01-1900,01-01-1900,14-03-2022,14-03-2022,,,,,,outbound,PERTH AIRPORT            ,  ,          ,383025789,WACO                     ,TX,,,0f7e589bccadcb6f8ac7de78fdcfc2e8,28:20.4,28:20.4
,North America,CFPS,,,1,40,40,40,,3349,XPO LOGISTICS                      ,27-07-2021,27-07-2021,321176091,20210727321176091     403349 ,USD,150,150,150,150,19-08-2021,,15-09-2021,20-09-2021,18-10-2021,60,18-10-2021,18-10-2021,,U ,Cleared,,,CASS    ,01-01-1900,01-01-1900,15-09-2021,15-09-2021,,,,,,Inbound,SEGUIN                   ,TX,          ,              ,LA PORTE                 ,TX,,,f64cb819f02a295adb4448be003f589c,28:20.4,28:20.4
,EAME,CFPS,,,1,35,1,35,,90,UPS SUPPLY CHAIN SOLUTIONS(MENLO)  ,10-03-2022,10-03-2022,3505361563,202203103505361563    010090 ,USD,29.16,29.16,29.16,29.16,18-03-2022,,01-04-2022,06-04-2022,0000-12-30,60,17-05-2022,17-05-2022,,Y ,Open,,,Z1FP4065,01-01-1900,01-01-1900,01-04-2022,01-04-2022,,,,,,outbound,WASHINGTON               ,GA,          ,350536156,GRIMBERGEN               ,  ,,,fad1fd474d206c8732b3f383fff776b4,28:20.4,28:20.4
,North America,CFPS,,,1,OY,OY,OY,,2687A,CON-WAY FREIGHT                    ,04-12-2020,04-12-2020,706467274,20201204706467274     OY2687A,USD,23.3,23.3,23.3,23.3,15-12-2020,,29-06-2021,29-06-2021,0000-12-30,60,13-02-2021,13-02-2021,,P ,Open,,,Z1FP4055,01-01-1900,01-01-1900,29-06-2021,29-06-2021,,,,,,Inbound,JOLIET                   ,IL,          ,              ,EL PASO                  ,TX,,,55bb45477395961fcc56125b937629a5,28:20.4,28:20.4
,North America,CFPS,,,1,JA,1,JA,,8932,E.W. WYLIE CORPORATION             ,28-10-2021,28-10-2021,725102,20211028725102        018932 ,USD,250,250,250,250,09-11-2021,,12-11-2021,17-11-2021,06-01-2022,60,08-01-2022,08-01-2022,,U ,Cleared,,,CASS    ,01-01-1900,01-01-1900,12-11-2021,12-11-2021,,,,,,outbound,MERIDIAN                 ,ID,13784887,725102,SANFORD                  ,NC,,,7c8e49ea93e35064f7fd52b27b11be84,28:20.4,28:20.4
,North America,CFPS,,,1,47,47,47,,4982,FORE TRANSPORTATION                ,25-01-2021,25-01-2021,648262,20210125648262        474982 ,USD,165,165,165,165,05-02-2021,,10-02-2021,15-02-2021,05-04-2021,60,06-04-2021,06-04-2021,,A ,Cleared,,,CASS    ,01-01-1900,01-01-1900,10-02-2021,10-02-2021,,,,,,Inbound,JOLIET                   ,IL,HLXHLXUHLX,671543,HARVEY                   ,IL,,,53893f5bea872a2f2c01dfc7b182f9cb,28:20.4,28:20.4
